,sku,units_sold,unit_price,title,average_discount
1202,XB1AmericanFlag,915,12.851234567901233,American Flag,0.06
1203,XB1BlueDigitalCamo,383,12.944623655913977,Blue Digital Camo,0.03
1204,XB1BlueMotif,396,12.847959183673469,Blue Motif,0.22
1205,XB1BlueSkulls,257,12.883333333333333,Blue Skulls,0.02
1206,XB1CrimsonRed,991,13.022301425661913,Crimson Red Camo,0.03
1207,XB1DesertCamo,71,12.992857142857142,Hunter Camo,0.0
1208,XB1DevilsGarden,643,14.025235109717869,Devil's Garden,0.04
1209,XB1EyeCandy,64,12.840625,Eye Candy,0.19
1210,XB1Frogskin,91,12.758988764044943,Frogskin Camo,0.0
1211,XB1Fusion,773,14.178868660598178,Fusion,0.07
1212,XB1Gambler,149,16.010402684563758,Gambler *LIMITED EDITION*,0.05
1213,XB1GhostCamo,17,13.067647058823528,Ghost Camo,0.95
1214,XB1HunterCamo,48,12.679166666666665,Hunter Camo,0.0
1215,XB1JokerGreenCamo,461,12.83986784140969,Joker Green Camo,0.05
1216,XB1MarineBlue,361,13.008659217877094,Marine Blue Camo,0.02
1217,XB1MentalGraffiti,461,14.082897603485836,Mental Graffiti,0.0
1218,XB1Motorsport,264,12.85151515151515,Motorsport,0.05
1219,XB1NavyCamo,392,12.869896640826873,Navy Camo,0.01
1220,XB1NightvisionGreen,62,12.740322580645161,Nightvision Green Camo,0.95
1221,XB1PinkTaffyCamo,27,12.875925925925925,Pink Taffy Camo,0.0
1222,XB1Psychadelic,1788,12.898863636363636,Psychedelic,0.95
1223,XB1PurpleCamo,607,12.95,Purple Haze Camo,0.95
1224,XB1PurpleSkulls,316,12.854458598726113,Purple Skulls,0.03
1225,XB1RedDigitalCamo,206,13.033333333333331,Red Digital Camo,0.06
1226,XB1RedMotif,430,12.825878220140515,Red Motif,0.26
1227,XB1RedSkulls,407,12.853465346534652,Red Skulls,0.04
1228,XB1RideorDie,115,16.374778761061947,Ride or Die *LIMITED EDITION*,0.0
1229,XB1RoseDragon,1097,14.576494940202391,Rose Dragon,0.95
1230,XB1S-Console-AntiqueWood,1,29.95,Antique Wood,0.0
1231,XB1S-Console-DayoftheDead,1,29.95,Day of the Dead,0.0
1232,XB1S-Console-GogetaJapanRetro,1,29.95,Gogeta Retro,0.0
1233,XB1S-Console-GogetaJapanRetro-XB1S_103,4,29.95,Gogeta Retro,0.0
1234,XB1S-Console-GokuRose,1,29.95,Goku Rose,0.0
1235,XB1S-Console-Hexed-XB1S_622,1,29.95,Hexed,0.95
1236,XB1S-Console-MatterOfEssence,1,29.95,Matter of Essence,0.0
1237,XB1S-Console-Mecha-XB1S_623,2,29.95,Mecha,0.0
1238,XB1S-Console-NarutoSasuke-XB1S_107,4,29.95,Sasuke,0.0
1239,XB1S-Console-RedCarbonFiber,1,29.95,Red Carbon Fiber,0.0
1240,XB1S-Console-ShenronsRevenge-XB1S_106,1,29.95,Shenron's Revenge,0.95
1241,XB1S-Console-SteelArmorAlchemist-XB1S_110,1,29.95,Steel Armor Alchemist,0.0
1242,XB1S-Console-TheBirds,1,29.95,The Birds,0.95
1243,XB1S-Console-TheWitcher-XB1S_223,1,29.95,The Witcher,0.0
1244,XB1S-Console-UltraInstinctV2-XB1S_102,1,29.95,Ultra Instinct V2,0.95
1245,XB1S-Console-Zilla-XB1S_301,1,29.95,Zilla,0.0
1246,XB1SX-AtomicComic,23,12.95,Atomic Comic,0.0
1247,XB1SX-BlackCarbonFiber,55,15.381372549019607,Black Carbon Fiber,0.95
1248,XB1SX-BloodSplatter,33,12.919696969696968,There Will Be Blood,0.95
1249,XB1SX-BlueCarbonFiber,24,15.324999999999998,Blue Carbon Fiber,0.0
1250,XB1SX-DeathsPatriot,18,12.8875,Death's Patriot,0.0
1251,XB1SX-FreeForAll,23,16.254347826086956,Free For All *LIMITED*,0.0
1252,XB1SX-Legends,17,15.95,Legends *LIMITED*,0.0
1253,XB1SX-RedCarbonFiber,21,15.3,Red Carbon Fiber,0.0
1254,XB1SX-WhiteMotif,266,12.866981132075471,White Motif,0.24
1255,XB1SXAmericanFlag,531,12.888104448742746,American Flag,0.06
1256,XB1SXAurora,922,14.592384105960264,Aurora,0.03
1257,XB1SXBlueDigitalCamo,252,12.905645161290321,Blue Digital Camo,0.1
1258,XB1SXBlueMotif,264,12.86254752851711,Blue Motif,0.16
1259,XB1SXBlueSkulls,192,12.83421052631579,Blue Skulls,0.2
1260,XB1SXCrimsonRed,755,13.025675675675675,Crimson Red Camo,0.05
1261,XB1SXDesertCamo,31,12.98225806451613,Desert Camo,0.95
1262,XB1SXDevilsGarden,479,14.224058577405856,Devil's Garden,0.05
1263,XB1SXDraconika,213,14.264553990610327,Draconika,0.06
1264,XB1SXEyeCandy,39,12.796153846153844,Eye Candy,0.13
1265,XB1SXFrogskin,66,12.737878787878786,Frogskin Camo,0.18
1266,XB1SXFusion,622,14.14543973941368,Fusion,0.05
